housecode,name,line,station,residential,area,type,houseArea,orientation,decoration,floor,buildingTime,buildingType,follow,unitPrice,totalPrice,tags,href
106101410911,绿地世纪城标准套一，精装修保养好,1号线(科学城-韦家碾),韦家碾站,绿地世纪城 ,驷马桥,1室1厅 , 50.62平米 , 北 , 精装 , 中楼层(共16层) , 2016年建 , 塔楼,2,17582,89,vr:VR房源,https://cd.lianjia.com/ershoufang/106101410911.html
106101456839,绿地世纪城居家装修一室一厅一卫,1号线(科学城-韦家碾),韦家碾站,绿地世纪城 ,驷马桥,1室1厅 , 53平米 , 南 , 精装 , 高楼层(共21层) , 2016年建 , 塔楼,1,16038,85,subway:近地铁;vr:VR房源,https://cd.lianjia.com/ershoufang/106101456839.html
106101393074,荆竹小区 标准三居室 有屋顶花园 有蔬菜水果 精装修,1号线(科学城-韦家碾),韦家碾站,荆竹小区6号院 ,驷马桥,3室2厅 , 111.02平米 , 南 北 , 简装 , 高楼层(共6层) , 1999年建 , 板楼,2,12160,135,subway:近地铁;vr:VR房源,https://cd.lianjia.com/ershoufang/106101393074.html
106102766161,精装套四 户型方正 对中庭中间楼层,1号线(科学城-韦家碾),韦家碾站,绿地世纪城 ,驷马桥,4室1厅 , 121.39平米 , 北 , 精装 , 中楼层(共20层) , 2016年建 , 塔楼,4,18124,220,subway:近地铁;vr:VR房源;five:房本满两年;haskey:随时看房,https://cd.lianjia.com/ershoufang/106102766161.html
106102874385,三环内绿地套一  看露天音乐广场 小区人车分流环境好,1号线(科学城-韦家碾),韦家碾站,绿地世纪城 ,驷马桥,1室1厅 , 50.48平米 , 北 , 精装 , 中楼层(共21层) , 2016年建 , 塔楼,4,15056,76,subway:近地铁;vr:VR房源;five:房本满两年;haskey:随时看房,https://cd.lianjia.com/ershoufang/106102874385.html
106102068697,大套一  利用空间率极大  顶楼带私人花园,1号线(科学城-韦家碾),韦家碾站,沙河北岸 ,驷马桥,1室1厅 , 59.7平米 , 东 , 简装 , 高楼层(共6层) , 2006年建 , 板楼,3,11525,68.8,subway:近地铁;vr:VR房源;taxfree:房本满五年;haskey:随时看房,https://cd.lianjia.com/ershoufang/106102068697.html
106102336377,一号线地铁口，标准套一，户型方正，采光好！,1号线(科学城-韦家碾),韦家碾站,双水康城A区 ,驷马桥,1室1厅 , 44.27平米 , 南 , 毛坯 , 高楼层(共6层) , 2003年建 , 板楼,3,9940,44,vr:VR房源;five:房本满两年,https://cd.lianjia.com/ershoufang/106102336377.html
106103089972,绿地世纪城朝西看游泳池装修小套三,1号线(科学城-韦家碾),韦家碾站,绿地世纪城 ,驷马桥,3室2厅 , 86.48平米 , 西 , 精装 , 中楼层(共20层) , 2016年建 , 塔楼,4,17924,155,subway:近地铁;vr:VR房源;taxfree:房本满五年,https://cd.lianjia.com/ershoufang/106103089972.html
106103671468,绿地世纪城精装标准套四中庭位置,1号线(科学城-韦家碾),韦家碾站,绿地世纪城 ,驷马桥,4室1厅 , 120.38平米 , 北 , 精装 , 中楼层(共20层) , 2016年建 , 塔楼,4,18691,225,subway:近地铁;vr:VR房源;taxfree:房本满五年;haskey:随时看房,https://cd.lianjia.com/ershoufang/106103671468.html
106103778225,绿地世纪城清水 套三朝南视野好采光好安静不临街,1号线(科学城-韦家碾),韦家碾站,绿地世纪城 ,驷马桥,3室2厅 , 87.21平米 , 南 , 简装 , 高楼层(共20层) , 2016年建 , 塔楼,8,17774,155,vr:VR房源;taxfree:房本满五年;haskey:随时看房,https://cd.lianjia.com/ershoufang/106103778225.html
106101823643,绿地世纪城精装套二，拎包入住。,1号线(科学城-韦家碾),韦家碾站,绿地世纪城 ,驷马桥,2室1厅 , 75.4平米 , 南 , 精装 , 低楼层(共21层) , 2016年建 , 塔楼,5,15916,120,subway:近地铁;vr:VR房源;five:房本满两年,https://cd.lianjia.com/ershoufang/106101823643.html
106103556323,黄  金3楼 中庭安静 舒居户型 大阳台,1号线(科学城-韦家碾),韦家碾站,双水康城A区 ,驷马桥,2室2厅 , 74.42平米 , 西 , 毛坯 , 中楼层(共6层)  ,, 板楼,2,11557,86,vr:VR房源;taxfree:房本满五年;haskey:随时看房,https://cd.lianjia.com/ershoufang/106103556323.html
106102607237,小区环境清静，户型方正，居住舒适，生活便捷。,1号线(科学城-韦家碾),韦家碾站,荆竹小区6号院 ,驷马桥,1室1厅 , 47.29平米 , 东南 , 毛坯 , 低楼层(共6层) , 1999年建 , 板楼,1,10785,51,subway:近地铁;vr:VR房源;taxfree:房本满五年;haskey:随时看房,https://cd.lianjia.com/ershoufang/106102607237.html
106102818667,绿地世纪城大套三，清水房，装修方便,1号线(科学城-韦家碾),韦家碾站,绿地世纪城 ,驷马桥,3室2厅 , 107平米 , 西 , 毛坯 , 高楼层(共20层) , 2016年建 , 塔楼,4,16356,175,subway:近地铁;vr:VR房源;haskey:随时看房,https://cd.lianjia.com/ershoufang/106102818667.html
106103343123,双水康城A区套一 居家装修 户型方正,1号线(科学城-韦家碾),韦家碾站,双水康城A区 ,驷马桥,1室1厅 , 44.78平米 , 西 , 精装 , 中楼层(共6层)  ,, 板楼,4,12953,58,vr:VR房源;five:房本满两年,https://cd.lianjia.com/ershoufang/106103343123.html
106103951514,地铁一号线，品质小区，拎包入住，户型方正。,1号线(科学城-韦家碾),韦家碾站,绿地世纪城 ,驷马桥,3室2厅 , 107平米 , 南 , 精装 , 高楼层(共20层) , 2016年建 , 塔楼,1,17758,190,subway:近地铁;vr:VR房源;taxfree:房本满五年,https://cd.lianjia.com/ershoufang/106103951514.html
106101502493,绿地世纪城标准套四，居家装修，视野开阔，对中庭。,1号线(科学城-韦家碾),韦家碾站,绿地世纪城 ,驷马桥,4室2厅 , 121.3平米 , 北 , 精装 , 低楼层(共20层) , 2016年建 , 塔楼,2,18137,220,subway:近地铁;vr:VR房源;taxfree:房本满五年,https://cd.lianjia.com/ershoufang/106101502493.html
106101045369,绿地世纪城精装套二从来没有住过人,1号线(科学城-韦家碾),韦家碾站,绿地世纪城 ,驷马桥,2室2厅 , 70.94平米 , 西 , 精装 , 中楼层(共21层) , 2016年建 , 塔楼,3,16916,120,subway:近地铁;vr:VR房源;taxfree:房本满五年;haskey:随时看房,https://cd.lianjia.com/ershoufang/106101045369.html
106102742772,荆竹小区带花园套一，诚心卖，居家装修,1号线(科学城-韦家碾),韦家碾站,荆竹小区6号院 ,驷马桥,1室1厅 , 46.54平米 , 东南 , 简装 , 低楼层(共6层) , 1999年建 , 板楼,1,10314,48,subway:近地铁;vr:VR房源;five:房本满两年;haskey:随时看房,https://cd.lianjia.com/ershoufang/106102742772.html
106102698543,绿地世纪城标准大套三，户型方正,1号线(科学城-韦家碾),韦家碾站,绿地世纪城 ,驷马桥,3室2厅 , 107.54平米 , 东 , 精装 , 中楼层(共20层) , 2016年建 , 塔楼,9,17203,185,subway:近地铁;vr:VR房源;taxfree:房本满五年,https://cd.lianjia.com/ershoufang/106102698543.html
106102988083,绿地世纪城，优质套二，诚意出售,1号线(科学城-韦家碾),韦家碾站,绿地世纪城 ,驷马桥,2室1厅 , 74.12平米 , 南 , 精装 , 中楼层(共21层) , 2016年建 , 塔楼,1,15084,111.8,subway:近地铁;vr:VR房源;taxfree:房本满五年,https://cd.lianjia.com/ershoufang/106102988083.html
106103074483,绿地世纪城，标准套一，楼层好，视野开阔，采光充足,1号线(科学城-韦家碾),韦家碾站,绿地世纪城 ,驷马桥,1室1厅 , 49.88平米 , 北 , 简装 , 高楼层(共18层) , 2016年建 , 塔楼,9,16039,80,vr:VR房源;taxfree:房本满五年,https://cd.lianjia.com/ershoufang/106103074483.html
106102506471,1号线 绿地品质 少有竖厅户型 全屋朝南,1号线(科学城-韦家碾),韦家碾站,绿地世纪城 ,驷马桥,2室1厅 , 75平米 , 南 , 毛坯 , 高楼层(共21层) , 2016年建 , 塔楼,6,15467,116,subway:近地铁;vr:VR房源;taxfree:房本满五年;haskey:随时看房,https://cd.lianjia.com/ershoufang/106102506471.html
106103533272,绿地世纪城竖厅套二，户型方正，采光好。,1号线(科学城-韦家碾),韦家碾站,绿地世纪城 ,驷马桥,2室1厅 , 70.43平米 , 东 , 简装 , 高楼层(共21层) , 2016年建 , 塔楼,7,15477,109,subway:近地铁;vr:VR房源;taxfree:房本满五年;haskey:随时看房,https://cd.lianjia.com/ershoufang/106103533272.html
106103957227,户型方正，交通便利，配套设施齐全，采光视野好,1号线(科学城-韦家碾),韦家碾站,荆竹小区7号院 ,驷马桥,1室1厅 , 47.29平米 , 西 , 简装 , 高楼层(共6层)  ,, 板楼,7,10362,49,subway:近地铁;vr:VR房源;taxfree:房本满五年;haskey:随时看房,https://cd.lianjia.com/ershoufang/106103957227.html
106104229013,绿地世纪城 3室2厅 170万,1号线(科学城-韦家碾),韦家碾站,绿地世纪城 ,驷马桥,3室2厅 , 106.8平米 , 东 西 , 其他 , 低楼层(共20层) , 2016年建 , 塔楼,1,15918,170,subway:近地铁;vr:VR房源;taxfree:房本满五年,https://cd.lianjia.com/ershoufang/106104229013.html
106103006117,刚需标准套二 多层公摊面积小 户型方正,1号线(科学城-韦家碾),韦家碾站,荆竹小区4号院 ,驷马桥,2室2厅 , 75平米 , 南 , 简装 , 高楼层(共6层) , 2007年建 , 板楼,1,10134,76,subway:近地铁;vr:VR房源;taxfree:房本满五年,https://cd.lianjia.com/ershoufang/106103006117.html
106103502273,绿地世纪城优质套三楼层好装修保养好,1号线(科学城-韦家碾),韦家碾站,绿地世纪城 ,驷马桥,3室2厅 , 86.84平米 , 东南 , 精装 , 高楼层(共20层) , 2016年建 , 塔楼,1,17849,155,subway:近地铁;vr:VR房源;taxfree:房本满五年,https://cd.lianjia.com/ershoufang/106103502273.html
106103625301,绿地世纪城精装小套三 朝南采光好 视野开阔,1号线(科学城-韦家碾),韦家碾站,绿地世纪城 ,驷马桥,3室1厅 , 86.96平米 , 南 , 精装 , 中楼层(共20层) , 2016年建 , 塔楼,2,17480,152,subway:近地铁;vr:VR房源;five:房本满两年,https://cd.lianjia.com/ershoufang/106103625301.html
106103675168,绿地世纪城精装套一采光视野很好,1号线(科学城-韦家碾),韦家碾站,绿地世纪城 ,驷马桥,1室1厅 , 50.24平米 , 西 , 精装 , 低楼层(共21层) , 2016年建 , 塔楼,1,16282,81.8,subway:近地铁;vr:VR房源;five:房本满两年,https://cd.lianjia.com/ershoufang/106103675168.html
106103697460,绿地世纪城套一改的套二 居家装修,1号线(科学城-韦家碾),韦家碾站,绿地世纪城 ,驷马桥,2室1厅 , 50.24平米 , 西 , 简装 , 低楼层(共21层) , 2016年建 , 塔楼,2,14929,75,subway:近地铁;vr:VR房源;taxfree:房本满五年,https://cd.lianjia.com/ershoufang/106103697460.html
106103738544,绿地世纪城居家装修大套四中间楼层,1号线(科学城-韦家碾),韦家碾站,绿地世纪城 ,驷马桥,4室2厅 , 121.39平米 , 北 , 精装 , 中楼层(共20层) , 2016年建 , 塔楼,4,17218,209,subway:近地铁;vr:VR房源;five:房本满两年,https://cd.lianjia.com/ershoufang/106103738544.html
106103800501,临地铁 小区中庭位置户型方正 自住装修 对游泳池,1号线(科学城-韦家碾),韦家碾站,绿地世纪城 ,驷马桥,3室2厅 , 86.48平米 , 西 , 简装 , 中楼层(共20层) , 2016年建 , 塔楼,1,17114,148,subway:近地铁;vr:VR房源;five:房本满两年,https://cd.lianjia.com/ershoufang/106103800501.html
106103862718,绿地世纪城标准大套二改套三，户型方正，采光充足。,1号线(科学城-韦家碾),韦家碾站,绿地世纪城 ,驷马桥,2室2厅 , 88.96平米 , 西 , 精装 , 中楼层(共20层) , 2016年建 , 塔楼,6,17424,155,subway:近地铁;vr:VR房源;five:房本满两年,https://cd.lianjia.com/ershoufang/106103862718.html
106103874028,绿地世纪城标准套一，精装修，拎包入住,1号线(科学城-韦家碾),韦家碾站,绿地世纪城 ,驷马桥,1室1厅 , 50.08平米 , 西 , 精装 , 中楼层(共21层) , 2016年建 , 塔楼,9,16973,85,subway:近地铁;vr:VR房源;five:房本满两年,https://cd.lianjia.com/ershoufang/106103874028.html
106103928915,绿地世纪城套三，位于中庭，中间楼层。,1号线(科学城-韦家碾),韦家碾站,绿地世纪城 ,驷马桥,3室1厅 , 86.41平米 , 东 , 精装 , 中楼层(共20层) , 2016年建 , 塔楼,2,17360,150,subway:近地铁;vr:VR房源;taxfree:房本满五年,https://cd.lianjia.com/ershoufang/106103928915.html
106104063100,地铁一号线，品质小区，拎包入住，户型方正,1号线(科学城-韦家碾),韦家碾站,绿地世纪城 ,驷马桥,3室2厅 , 86.57平米 , 南 , 精装 , 低楼层(共20层) , 2016年建 , 塔楼,4,18136,157,subway:近地铁;vr:VR房源;taxfree:房本满五年,https://cd.lianjia.com/ershoufang/106104063100.html
106104063534,标准套一  精装修  满二          房东急售,1号线(科学城-韦家碾),韦家碾站,绿地世纪城 ,驷马桥,1室1厅 , 50.62平米 , 东 , 精装 , 高楼层(共16层) , 2016年建 , 塔楼,9,15805,80,subway:近地铁;vr:VR房源;taxfree:房本满五年,https://cd.lianjia.com/ershoufang/106104063534.html
106104123902,绿地世纪城 视野开阔 诚心出售 保养好,1号线(科学城-韦家碾),韦家碾站,绿地世纪城 ,驷马桥,1室1厅 , 49.97平米 , 南 , 其他 , 高楼层(共21层) , 2016年建 , 塔楼,2,15010,75,subway:近地铁;vr:VR房源;taxfree:房本满五年,https://cd.lianjia.com/ershoufang/106104123902.html
106102929895,绿地世纪城套二 小区环境优美 人车分流,1号线(科学城-韦家碾),韦家碾站,绿地世纪城 ,驷马桥,2室1厅 , 75.85平米 , 南 , 简装 , 高楼层(共16层) , 2016年建 , 塔楼,1,15162,115,subway:近地铁;vr:VR房源;taxfree:房本满五年;haskey:随时看房,https://cd.lianjia.com/ershoufang/106102929895.html
106103281083,满两年无增值税 卧室带阳台 朝小区中庭 居家安静,1号线(科学城-韦家碾),韦家碾站,绿地世纪城 ,驷马桥,1室1厅 , 52.98平米 , 东 , 精装 , 中楼层(共18层) , 2016年建 , 塔楼,8,14440,76.5,vr:VR房源;taxfree:房本满五年;haskey:随时看房,https://cd.lianjia.com/ershoufang/106103281083.html
106103374707,绿地世纪世纪城清水套二，户型方正,1号线(科学城-韦家碾),韦家碾站,绿地世纪城 ,驷马桥,2室1厅 , 73.88平米 , 南 , 毛坯 , 高楼层(共16层) , 2016年建 , 塔楼,1,14890,110,vr:VR房源;five:房本满两年;haskey:随时看房,https://cd.lianjia.com/ershoufang/106103374707.html
106101052445,绿地世纪城标准套二，清水，装修方便 。,1号线(科学城-韦家碾),韦家碾站,绿地世纪城 ,驷马桥,2室1厅 , 74.08平米 , 南 , 毛坯 , 高楼层(共21层) , 2016年建 , 塔楼,4,15524,115,subway:近地铁;vr:VR房源;haskey:随时看房,https://cd.lianjia.com/ershoufang/106101052445.html
106102708683,绿地世纪城标准大套二，业主诚心卖。,1号线(科学城-韦家碾),韦家碾站,绿地世纪城 ,驷马桥,2室1厅 , 88.96平米 , 东 , 毛坯 , 低楼层(共20层) , 2016年建 , 塔楼,1,16750,149,subway:近地铁;vr:VR房源;haskey:随时看房,https://cd.lianjia.com/ershoufang/106102708683.html
106103368380,沙河北岸，标准装修套二，采光好视野好,1号线(科学城-韦家碾),韦家碾站,沙河北岸 ,驷马桥,2室2厅 , 85.32平米 , 东北 , 精装 , 低楼层(共6层) , 2006年建 , 板楼,4,11135,95,subway:近地铁;vr:VR房源;taxfree:房本满五年,https://cd.lianjia.com/ershoufang/106103368380.html
106101728610,绿地世纪城标准套二，位置安静，采光充足,1号线(科学城-韦家碾),韦家碾站,绿地世纪城 ,驷马桥,2室1厅 , 73.94平米 , 南 , 精装 , 高楼层(共21层) , 2016年建 , 塔楼,5,19205,142,subway:近地铁;vr:VR房源;five:房本满两年,https://cd.lianjia.com/ershoufang/106101728610.html
106103173878,绿地世纪城优质套二，居家装修，诚心出售,1号线(科学城-韦家碾),韦家碾站,绿地世纪城 ,驷马桥,2室1厅 , 71.07平米 , 西 , 精装 , 中楼层(共21层) , 2016年建 , 塔楼,3,15337,109,subway:近地铁;vr:VR房源;taxfree:房本满五年,https://cd.lianjia.com/ershoufang/106103173878.html
106103215711,一楼精装套二 2.5环 临地铁 临公园  随时看房,1号线(科学城-韦家碾),韦家碾站,双水康城A区 ,驷马桥,2室1厅 , 72.79平米 , 北 , 精装 , 低楼层(共6层)  ,, 板楼,5,11582,84.3,vr:VR房源;five:房本满两年;haskey:随时看房,https://cd.lianjia.com/ershoufang/106103215711.html
106103658037,绿地世纪城简装套二 满两年 户型方正,1号线(科学城-韦家碾),韦家碾站,绿地世纪城 ,驷马桥,2室1厅 , 71.07平米 , 西 , 简装 , 高楼层(共21层) , 2016年建 , 塔楼,1,15478,110,subway:近地铁;vr:VR房源;five:房本满两年;haskey:随时看房,https://cd.lianjia.com/ershoufang/106103658037.html
106101947632,绿地世纪城 清水套四 中间楼层对中庭,1号线(科学城-韦家碾),韦家碾站,绿地世纪城 ,驷马桥,4室2厅 , 121平米 , 北 , 毛坯 , 中楼层(共20层) , 2016年建 , 塔楼,2,17356,210,subway:近地铁;vr:VR房源;haskey:随时看房,https://cd.lianjia.com/ershoufang/106101947632.html
